format,impl,op,ns_per_elem,elems_per_s,rel_time,agree,n,reps,seconds
fp32,libcft,add,125.7689,7951091,1.000,1,1,2461761,0.3096
fp32,mpfr,add,8.1673,122439981,0.065,1,1,1048576,0.0086
fp32,mpfr+754,add,19.1114,52324804,0.152,1,1,4194304,0.0802
fp32,cpu-hw,add,2.0723,482547627,0.016,1,1,1048576,0.0022
fp32,libcft,mul,95.1918,10505108,1.000,1,1,3306693,0.3148
fp32,mpfr,mul,8.2569,121110649,0.087,1,1,1048576,0.0087
fp32,mpfr+754,mul,19.6848,50800639,0.207,1,1,1048576,0.0206
fp32,cpu-hw,mul,1.7605,568026011,0.018,1,1,1048576,0.0018
fp32,libcft,fma,101.5413,9848205,1.000,1,1,3093656,0.3141
fp32,mpfr,fma,16.8324,59409405,0.166,1,1,1048576,0.0177
fp32,mpfr+754,fma,28.4491,35150548,0.280,1,1,1048576,0.0298
fp32,cpu-hw,fma,1.8444,542179922,0.018,1,1,1048576,0.0019
fp32,libcft,div,2967.7877,336951,1.000,1,1,103594,0.3074
fp32,mpfr,div,8.9655,111538773,0.003,1,1,1048576,0.0094
fp32,mpfr+754,div,20.5965,48551928,0.007,1,1,1048576,0.0216
fp32,cpu-hw,div,1.9016,525865614,0.001,1,1,1048576,0.0020
fp32,libcft,sqrt,3590.3275,278526,1.000,1,1,88705,0.3185
fp32,mpfr,sqrt,8.6327,115839151,0.002,1,1,1048576,0.0091
fp32,mpfr+754,sqrt,19.9404,50149505,0.006,1,1,1048576,0.0209
fp32,cpu-hw,sqrt,1.6088,621562522,0.000,1,1,1048576,0.0017
fp32,libcft,add,123.4954,8097465,1.000,4,4,627677,0.3101
fp32,mpfr,add,5.9762,167330407,0.048,4,4,1048576,0.0251
fp32,mpfr+754,add,14.8334,67415282,0.120,4,4,5084410,0.3017
fp32,cpu-hw,add,0.9706,1030288373,0.008,4,4,1048576,0.0041
fp32,libcft,mul,95.0098,10525235,1.000,4,4,821863,0.3123
fp32,mpfr,mul,7.1437,139982779,0.075,4,4,1048576,0.0300
fp32,mpfr+754,mul,19.4835,51325604,0.205,4,4,4170231,0.3250
fp32,cpu-hw,mul,0.9133,1094975597,0.010,4,4,4194304,0.0153
fp32,libcft,fma,104.7865,9543213,1.000,4,4,748374,0.3137
fp32,mpfr,fma,15.8328,63160036,0.151,4,4,5017149,0.3177
fp32,mpfr+754,fma,28.3367,35289927,0.270,4,4,2678876,0.3036
fp32,cpu-hw,fma,0.9208,1086044549,0.009,4,4,1048576,0.0039
fp32,libcft,div,2337.0820,427884,1.000,4,4,34034,0.3182
fp32,mpfr,div,8.2781,120800207,0.004,4,4,1048576,0.0347
fp32,mpfr+754,div,19.6793,50814723,0.008,4,4,4067528,0.3202
fp32,cpu-hw,div,0.9077,1101734699,0.000,4,4,1048576,0.0038
fp32,libcft,sqrt,2871.8882,348203,1.000,4,4,27556,0.3166
fp32,mpfr,sqrt,8.4039,118992411,0.003,4,4,4194304,0.1410
fp32,mpfr+754,sqrt,20.2139,49470987,0.007,4,4,3858873,0.3120
fp32,cpu-hw,sqrt,0.9134,1094832662,0.000,4,4,1048576,0.0038
fp32,libcft,add,128.5401,7779676,1.000,16,16,158260,0.3255
fp32,mpfr,add,7.4027,135085910,0.058,16,16,2647363,0.3136
fp32,mpfr+754,add,18.2575,54771942,0.142,16,16,1063565,0.3107
fp32,cpu-hw,add,0.1731,5776532293,0.001,16,16,16777216,0.0465
fp32,libcft,mul,96.4659,10366361,1.000,16,16,208980,0.3226
fp32,mpfr,mul,7.0436,141973653,0.073,16,16,2684846,0.3026
fp32,mpfr+754,mul,20.3943,49033223,0.211,16,16,955158,0.3117
fp32,cpu-hw,mul,0.1546,6467545023,0.002,16,16,16777216,0.0415
fp32,libcft,fma,110.1587,9077810,1.000,16,16,171536,0.3023
fp32,mpfr,fma,16.4648,60735776,0.149,16,16,1186834,0.3127
fp32,mpfr+754,fma,28.4955,35093287,0.259,16,16,682707,0.3113
fp32,cpu-hw,fma,0.1520,6578655428,0.001,16,16,16777216,0.0408
fp32,libcft,div,2139.8995,467312,1.000,16,16,9153,0.3134
