format,impl,op,ns_per_elem,elems_per_s,rel_time,agree,n,reps,seconds
fp32,libcft,add,314.1809,3182879,1.000,1,1,939837,0.2953
fp32,mpfr,add,13.9478,71696131,0.044,1,1,16777216,0.2340
fp32,mpfr+754,add,20.2025,49498736,0.064,1,1,15595997,0.3151
fp32,cpu-hw,add,3.3426,299166142,0.011,1,1,16777216,0.0561
fp32,libcft,mul,243.8671,4100593,1.000,1,1,1273784,0.3106
fp32,mpfr,mul,10.8763,91943415,0.045,1,1,16777216,0.1825
fp32,mpfr+754,mul,17.0143,58774031,0.070,1,1,16777216,0.2855
fp32,cpu-hw,mul,3.6181,276385806,0.015,1,1,16777216,0.0607
fp32,libcft,fma,275.7485,3626492,1.000,1,1,1130561,0.3118
fp32,mpfr,fma,24.8907,40175709,0.090,1,1,12528366,0.3118
fp32,mpfr+754,fma,30.9232,32338198,0.112,1,1,10093668,0.3121
fp32,cpu-hw,fma,4.1827,239081922,0.015,1,1,16777216,0.0702
fp32,libcft,div,26051.7846,38385,1.000,1,1,12004,0.3127
fp32,mpfr,div,14.7242,67915632,0.001,1,1,16777216,0.2470
fp32,mpfr+754,div,20.3418,49159850,0.001,1,1,15381987,0.3129
fp32,cpu-hw,div,3.6310,275408916,0.000,1,1,16777216,0.0609
fp32,libcft,sqrt,27476.8159,36394,1.000,1,1,11472,0.3152
fp32,mpfr,sqrt,14.8628,67282182,0.001,1,1,16777216,0.2494
fp32,mpfr+754,sqrt,21.3286,46885423,0.001,1,1,14690432,0.3133
fp32,cpu-hw,sqrt,3.3458,298878977,0.000,1,1,16777216,0.0561
fp32,libcft,add,283.4862,3527509,1.000,4,4,270204,0.3064
fp32,mpfr,add,9.7019,103072906,0.034,4,4,8053447,0.3125
fp32,mpfr+754,add,15.5958,64119700,0.055,4,4,4978823,0.3106
fp32,cpu-hw,add,1.1453,873130575,0.004,4,4,16777216,0.0769
fp32,libcft,mul,216.7937,4612681,1.000,4,4,360457,0.3126
fp32,mpfr,mul,8.9914,111217712,0.041,4,4,8726948,0.3139
fp32,mpfr+754,mul,16.4277,60872881,0.076,4,4,5043088,0.3314
fp32,cpu-hw,mul,1.4299,699334123,0.007,4,4,16777216,0.0960
fp32,libcft,fma,263.6372,3793091,1.000,4,4,262144,0.2764
fp32,mpfr,fma,22.3452,44752350,0.085,4,4,3501983,0.3130
fp32,mpfr+754,fma,28.9116,34588184,0.110,4,4,2718163,0.3143
fp32,cpu-hw,fma,2.3697,421986541,0.009,4,4,16777216,0.1590
fp32,libcft,div,10056.1301,99442,1.000,4,4,7774,0.3127
fp32,mpfr,div,13.2004,75755487,0.001,4,4,6009072,0.3173
fp32,mpfr+754,div,21.3545,46828642,0.002,4,4,4207876,0.3594
fp32,cpu-hw,div,1.3300,751882228,0.000,4,4,16777216,0.0893
fp32,libcft,sqrt,11988.0635,83416,1.000,4,4,7021,0.3367
fp32,mpfr,sqrt,13.5710,73686704,0.001,4,4,5296055,0.2875
fp32,mpfr+754,sqrt,18.5511,53905110,0.002,4,4,4221380,0.3132
fp32,cpu-hw,sqrt,1.1159,896143012,0.000,4,4,16777216,0.0749
fp32,libcft,add,290.7197,3439740,1.000,16,16,67124,0.3122
fp32,mpfr,add,10.9993,90915081,0.038,16,16,1775559,0.3125
fp32,mpfr+754,add,17.4803,57207173,0.060,16,16,1131673,0.3165
fp32,cpu-hw,add,0.6102,1638710519,0.002,16,16,16777216,0.1638
fp32,libcft,mul,221.4566,4515557,1.000,16,16,88492,0.3136
fp32,mpfr,mul,8.5026,117611455,0.038,16,16,2296617,0.3124
fp32,mpfr+754,mul,14.6429,68292702,0.066,16,16,1335669,0.3129
fp32,cpu-hw,mul,0.7521,1329669076,0.003,16,16,16777216,0.2019
fp32,libcft,fma,261.3424,3826398,1.000,16,16,74649,0.3121
fp32,mpfr,fma,23.3421,42841087,0.089,16,16,837726,0.3129
fp32,mpfr+754,fma,30.6058,32673508,0.117,16,16,661834,0.3241
fp32,cpu-hw,fma,1.8526,539778333,0.007,16,16,10591490,0.3140
fp32,libcft,div,6177.0559,161889,1.000,16,16,3166,0.3129
fp32,mpfr,div,13.0055,76890434,0.002,16,16,1506639,0.3135
fp32,mpfr+754,div,18.6003,53762486,0.003,16,16,1051591,0.3130
fp32,cpu-hw,div,0.7497,1333827367,0.000,16,16,16777216,0.2013
fp32,libcft,sqrt,6973.5199,143400,1.000,16,16,2824,0.3151
fp32,mpfr,sqrt,12.6719,78914972,0.002,16,16,1538742,0.3120
fp32,mpfr+754,sqrt,18.3903,54376541,0.003,16,16,1063384,0.3129
fp32,cpu-hw,sqrt,1.1438,874299113,0.000,16,16,16777216,0.3070
fp32,libcft,add,291.4907,3430641,1.000,64,64,15372,0.2868
fp32,mpfr,add,10.7170,93309628,0.037,64,64,454916,0.3120
fp32,mpfr+754,add,16.9313,59062277,0.058,64,64,262144,0.2841
fp32,cpu-hw,add,0.5449,1835323600,0.002,64,64,8984998,0.3133
