backend,path,tiles,format,bytes_per_elem,op,n,ns_per_elem,elems_per_s,mb_per_s,reps,seconds
software-arm64,host,0,fp32,4,abs,1,23.1538,43189489,345.5,4194304,0.0971
software-arm64,host,0,fp32,4,neg,1,23.4365,42668403,341.3,4194304,0.0983
software-arm64,host,0,fp32,4,copysign,1,24.3263,41107731,493.3,1048576,0.0255
software-arm64,host,0,fp32,4,min,1,38.8180,25761256,309.1,3263745,0.1267
software-arm64,host,0,fp32,4,max,1,38.2452,26147071,313.8,1048576,0.0401
software-arm64,host,0,fp32,4,minnum,1,38.6539,25870598,310.4,3283367,0.1269
software-arm64,host,0,fp32,4,maxnum,1,39.0854,25585009,307.0,1048576,0.0410
software-arm64,host,0,fp32,4,cmplt,1,57.4584,17403908,208.8,2240701,0.1287
software-arm64,host,0,fp32,4,cmple,1,56.1658,17804440,213.7,2268624,0.1274
software-arm64,host,0,fp32,4,cmpeq,1,40.3291,24795999,297.6,3116014,0.1257
software-arm64,host,0,fp32,4,select,1,25.0790,39873943,638.0,5210368,0.1307
software-arm64,host,0,fp32,4,iand,1,24.2920,41165829,494.0,1048576,0.0255
software-arm64,host,0,fp32,4,ior,1,25.3792,39402375,472.8,1048576,0.0266
software-arm64,host,0,fp32,4,ixor,1,24.3645,41043369,492.5,1048576,0.0255
software-arm64,host,0,fp32,4,iadd,1,26.1955,38174458,458.1,1048576,0.0275
software-arm64,host,0,fp32,4,isub,1,32.0463,31204833,374.5,1048576,0.0336
software-arm64,host,0,fp32,4,ishl,1,28.5223,35060344,420.7,4194304,0.1196
software-arm64,host,0,fp32,4,ishr,1,25.6004,39061839,468.7,4194304,0.1074
software-arm64,host,0,fp32,4,icmplt,1,24.0133,41643622,499.7,4194304,0.1007
software-arm64,host,0,fp32,4,add,1,122.8483,8140124,97.7,991288,0.1218
software-arm64,host,0,fp32,4,sub,1,125.7219,7954063,95.4,990599,0.1245
software-arm64,host,0,fp32,4,mul,1,94.7553,10553496,126.6,1228923,0.1164
software-arm64,host,0,fp32,4,fma,1,101.3512,9866681,157.9,1234154,0.1251
software-arm64,host,0,fp32,4,abs,2,18.9988,52634912,421.1,3274181,0.1244
software-arm64,host,0,fp32,4,neg,2,19.7247,50697870,405.6,2946763,0.1162
software-arm64,host,0,fp32,4,copysign,2,19.6175,50974893,611.7,3198751,0.1255
software-arm64,host,0,fp32,4,min,2,35.6076,28083913,337.0,1801232,0.1283
software-arm64,host,0,fp32,4,max,2,34.7881,28745486,344.9,1845877,0.1284
software-arm64,host,0,fp32,4,minnum,2,35.0903,28497896,342.0,1790993,0.1257
software-arm64,host,0,fp32,4,maxnum,2,34.5330,28957811,347.5,1805201,0.1247
software-arm64,host,0,fp32,4,cmplt,2,45.4948,21980540,263.8,1356573,0.1234
software-arm64,host,0,fp32,4,cmple,2,46.0429,21718893,260.6,1378661,0.1270
software-arm64,host,0,fp32,4,cmpeq,2,37.1688,26904283,322.9,1756056,0.1305
software-arm64,host,0,fp32,4,select,2,20.4453,48910885,782.6,1048576,0.0429
software-arm64,host,0,fp32,4,iand,2,19.2711,51891233,622.7,3107740,0.1198
