backend,path,tiles,format,bytes_per_elem,op,n,ns_per_elem,elems_per_s,mb_per_s,reps,seconds
software,host,0,fp32,4,abs,1,60.2665,16592968,132.7,1663732,0.1003
software,host,0,fp32,4,neg,1,55.1915,18118716,144.9,2254968,0.1245
software,host,0,fp32,4,copysign,1,55.8890,17892595,214.7,2243937,0.1254
software,host,0,fp32,4,min,1,100.4180,9958370,119.5,1260583,0.1266
software,host,0,fp32,4,max,1,99.4448,10055828,120.7,1241544,0.1235
software,host,0,fp32,4,minnum,1,100.3221,9967894,119.6,1261919,0.1266
software,host,0,fp32,4,maxnum,1,99.8462,10015406,120.2,1232289,0.1230
software,host,0,fp32,4,cmplt,1,127.4263,7847676,94.2,981989,0.1251
software,host,0,fp32,4,cmple,1,128.1794,7801568,93.6,975694,0.1251
software,host,0,fp32,4,cmpeq,1,102.6912,9737932,116.9,1214858,0.1248
software,host,0,fp32,4,select,1,59.5220,16800501,268.8,2097090,0.1248
software,host,0,fp32,4,iand,1,51.6458,19362648,232.4,2403769,0.1241
software,host,0,fp32,4,ior,1,52.4258,19074589,228.9,2392756,0.1254
software,host,0,fp32,4,ixor,1,53.2643,18774309,225.3,2347969,0.1251
software,host,0,fp32,4,iadd,1,54.9098,18211681,218.5,2279826,0.1252
software,host,0,fp32,4,isub,1,65.1222,15355738,184.3,1916329,0.1248
software,host,0,fp32,4,ishl,1,69.0695,14478169,173.7,1798931,0.1243
software,host,0,fp32,4,ishr,1,56.6871,17640706,211.7,2212210,0.1254
software,host,0,fp32,4,icmplt,1,48.8234,20481998,245.8,2511204,0.1226
software,host,0,fp32,4,add,1,299.6015,3337767,40.1,417659,0.1251
software,host,0,fp32,4,sub,1,307.1070,3256194,39.1,407247,0.1251
software,host,0,fp32,4,mul,1,235.3451,4249080,51.0,531935,0.1252
software,host,0,fp32,4,fma,1,265.8322,3761771,60.2,469993,0.1249
device,host,1,fp32,4,abs,1,70537.9188,14177,0.1,1736,0.1225
device,host,1,fp32,4,neg,1,70433.6651,14198,0.1,1780,0.1254
device,host,1,fp32,4,copysign,1,70037.8041,14278,0.2,1787,0.1252
device,host,1,fp32,4,min,1,69661.3345,14355,0.2,1791,0.1248
